section,row,logical_work,physical_work,a100_time_ms,a100_idle_adjusted_energy_J,a100_idle_baseline_low_J,a100_idle_baseline_high_J,a100_trial_energy_stdev_J,grid_movement_energy_fJ_at_1fJ_per_operand_grid_step,grid_movement_energy_J,literature_energy_J,literature_classification
8192_gemm,strict_fp32,549755813888_MAC,549755813888_pair_contributions,57.94544174942529,15.75737995673014,15.649922490504519,15.86483742295576,0.4767938572220191,118953083721334,0.118953083721334,13.04_to_13.26,"cubic interpolation from adjacent measured A100 sizes; separate cross-shape estimate 16.41 J"
8192_gemm,fp16_tensor_core,549755813888_MAC,549755813888_pair_contributions,4.362116411197246,1.4260743023888982,1.4201229387177092,1.4320256660600867,0.014895978187781414,118953083721334,0.118953083721334,1.04_to_1.28,"cubic interpolation from adjacent measured A100 sizes"
8192_gemm,int8_tensor_core,549755813888_MAC,549755813888_pair_contributions,2.778655073881832,0.9040738117532965,0.9012033779795702,0.9069442455270227,0.010205490085370857,118953083721334,0.118953083721334,0.5_to_0.9,"cross-benchmark planning band; no paired exact-shape energy"
8192_gemm,b1_and_popc_tensor_core,549755813888_bit_pair_contributions,549755813888_bit_pair_contributions,2.9437698970622805,0.6480983591725333,0.6456478051091342,0.6505489132359326,0.02046552860227184,118953083721334,0.118953083721334,0.08939,"aggressive cross-workload extrapolation; different shape and useful-op semantics"
mnist_int8_inference,single_full_batch_60000,717900000000_logical_MAC,722503680000_padded_MAC,7.773678443865031,2.5694997995344617,2.5486108185709284,2.590388780497995,0.041068117246861116,133502855653573,0.133502855653573,,"persistent-epoch grid model; no comparable published result found"
mnist_int8_inference,batch64,717900000000_logical_MAC,,,,,,,73034299138466,0.073034299138466,,"persistent-epoch grid model; no comparable published result found"
mnist_int8_inference,batch16,717900000000_logical_MAC,1445007360000_padded_MAC,780.364251971429,12.106033543967767,11.42979997406332,12.782267113872201,0.5154639408925056,134309615592699,0.134309615592699,,"persistent-epoch grid model; no comparable published result found"
mnist_int8_inference,batch4,717900000000_logical_MAC,,,,,,,435668465318037,0.435668465318037,,"persistent-epoch grid model; no comparable published result found"
mnist_int8_inference,batch1,717900000000_logical_MAC,,,,,,,1673597885020609,1.673597885020609,,"persistent-epoch grid model; no comparable published result found"
