dataset,draw_count,reference,candidate_mean_accuracy_percent,candidate_sample_sd_pp,reference_mean_accuracy_percent,reference_sample_sd_pp,candidate_minus_reference_mean_pp,paired_draw_delta_sample_sd_pp
kmnist,11,linear-sgd,94.43636363636364,0.16770645349972318,79.44636363636363,0.5252289544050832,14.990000000000004,0.5549053973426475
kmnist,11,mlp64-sgd,94.43636363636364,0.16770645349972318,90.28090909090909,0.25457629683277755,4.155454545454546,0.2756216115025664
kmnist,11,mlp256-sgd,94.43636363636364,0.16770645349972318,92.85090909090908,0.22300020383195135,1.5854545454545492,0.3124536329237884
kmnist,11,cnn16-sgd,94.43636363636364,0.16770645349972318,93.8409090909091,0.3388349021412816,0.5954545454545478,0.3193231478099777
kmnist,11,cnn32-ensemble3,94.43636363636364,0.16770645349972318,96.27636363636364,0.17995959142389575,-1.8399999999999983,0.23112767034693504
kmnist,11,reversible82-sgd,94.43636363636364,0.16770645349972318,79.86636363636363,0.3524563157973716,14.570000000000002,0.3353505628443173
emnist_letters_aj,11,linear-sgd,93.33727272727273,0.1743038100037361,78.36363636363636,0.6869683067983967,14.973636363636363,0.6612302583408121
emnist_letters_aj,11,mlp64-sgd,93.33727272727273,0.1743038100037361,88.85727272727273,0.4207633755233667,4.479999999999999,0.4150662597706532
emnist_letters_aj,11,mlp256-sgd,93.33727272727273,0.1743038100037361,92.03545454545454,0.42788698592884883,1.301818181818181,0.3615471803739654
emnist_letters_aj,11,cnn16-sgd,93.33727272727273,0.1743038100037361,93.09454545454545,0.5631760583754196,0.24272727272727287,0.5086470467640798
emnist_letters_aj,11,cnn32-ensemble3,93.33727272727273,0.1743038100037361,95.40181818181819,0.1596131687435734,-2.064545454545454,0.17466331248225317
emnist_letters_aj,11,reversible82-sgd,93.33727272727273,0.1743038100037361,78.32363636363637,0.8092375760834751,15.013636363636362,0.834820612194893
qmnist_recovered,11,linear-sgd,95.68454545454546,0.12746479014721282,89.63,0.37693500766047333,6.0545454545454565,0.3746562060439894
qmnist_recovered,11,mlp64-sgd,95.68454545454546,0.12746479014721282,94.30818181818182,0.21999173538195446,1.3763636363636365,0.24158943384480783
qmnist_recovered,11,mlp256-sgd,95.68454545454546,0.12746479014721282,96.15,0.2116128540519227,-0.46545454545454584,0.14861787485788241
qmnist_recovered,11,cnn16-sgd,95.68454545454546,0.12746479014721282,96.42545454545454,0.3860405065887163,-0.7409090909090875,0.3545265729237931
qmnist_recovered,11,cnn32-ensemble3,95.68454545454546,0.12746479014721282,97.73272727272727,0.13424536558786054,-2.0481818181818157,0.13991555895026217
qmnist_recovered,11,reversible82-sgd,95.68454545454546,0.12746479014721282,89.38818181818182,0.47719635752629364,6.296363636363637,0.43483957334337964
fashion_mnist,11,linear-sgd,82.69545454545455,0.3586464453013209,78.78909090909092,1.6563118942122843,3.906363636363635,1.7897948079446018
fashion_mnist,11,mlp64-sgd,82.69545454545455,0.3586464453013209,82.49181818181818,1.0169839544635717,0.20363636363636448,1.1052988078096593
fashion_mnist,11,mlp256-sgd,82.69545454545455,0.3586464453013209,85.03727272727272,0.6714028732302374,-2.3418181818181782,0.7890224100976881
fashion_mnist,11,cnn16-sgd,82.69545454545455,0.3586464453013209,84.53,1.089100546322513,-1.8345454545454551,1.097217969560865
fashion_mnist,11,cnn32-ensemble3,82.69545454545455,0.3586464453013209,87.21454545454546,0.4119068738529039,-4.519090909090909,0.4477600818620309
fashion_mnist,11,reversible82-sgd,82.69545454545455,0.3586464453013209,77.78454545454545,3.043111445991961,4.910909090909089,2.9697456273070086
cifar10,11,linear-sgd,38.653636363636366,0.2795093103019198,17.37181818181818,3.3099118362331597,21.28181818181818,3.2637917157251883
cifar10,11,mlp64-sgd,38.653636363636366,0.2795093103019198,29.846363636363638,1.1322303010189463,8.807272727272728,1.1187054206455846
cifar10,11,mlp256-sgd,38.653636363636366,0.2795093103019198,34.845454545454544,1.0619356255099808,3.808181818181819,0.9784561122688981
cifar10,11,cnn16-sgd,38.653636363636366,0.2795093103019198,37.56272727272727,1.284601813085213,1.0909090909090915,1.3642980212948674
cifar10,11,cnn32-ensemble3,38.653636363636366,0.2795093103019198,44.56545454545455,0.5119445992754221,-5.911818181818182,0.42132690827475455
cifar10,11,reversible82-sgd,38.653636363636366,0.2795093103019198,23.945454545454545,1.7882693512799666,14.708181818181819,1.7896469941405666
