dataset,mean_accuracy_percent,sample_sd_pp,min_draw_accuracy_percent,max_draw_accuracy_percent,correct,total,mean_adapter_wall_seconds
kmnist,94.43636363636364,0.16770645349972316,94.22,94.76,103880,110000,56.53607905872727
emnist_letters_aj,93.33727272727273,0.1743038100037361,93.08,93.7,102671,110000,55.27387454418183
qmnist_recovered,95.68454545454546,0.12746479014721282,95.46,95.87,105253,110000,55.279245553181816
fashion_mnist,82.69545454545455,0.35864644530132084,82.11,83.34,90965,110000,55.324011703545466
cifar10,38.65363636363636,0.2795093103019198,38.28,39.02,42519,110000,55.335255788181826
