level,n,n_exact,draws,aggregate_correct,aggregate_total,expected_error_pct,expected_accuracy_pct,mean_of_draw_errors_pct,sd_error_pp,ci95_low_pct,ci95_high_pct,bootstrap_ci95_low_pct,bootstrap_ci95_high_pct,min_draw_error_pct,max_draw_error_pct,mean_training_seconds,mean_fit_wall_seconds,truncated_fits,pass_count,pass_fraction,two_anchor_predicted_error_pct,floor_fit_predicted_error_pct,rounded_0p05_error_pct,rounded_0p05_pass_fraction,rounded_0p1_error_pct,rounded_0p1_pass_fraction
1,1000,1000.0,11,105601,110000,3.999090909090909,96.00090909090909,3.9990909090909095,0.33128400340054287,3.7765312872857137,4.221650530896105,3.821818181818182,4.200977272727273,3.5,4.63,11.433934575090905,18.34666402936367,0,9,0.8181818181818182,3.999090909090909,4.010936948225296,4.0,0.8181818181818182,4.0,0.8181818181818182
2,1778,1778.2794100389228,11,106541,110000,3.1445454545454545,96.85545454545455,3.144545454545455,0.19613075415975112,3.012783021037956,3.276307888052954,3.0327272727272727,3.2482045454545454,2.84,3.45,18.52509591218178,25.827274841181808,0,6,0.5454545454545454,3.1532847807354223,3.1107367158962838,3.15,0.5454545454545454,3.1,0.5454545454545454
3,3162,3162.2776601683795,11,107346,110000,2.4127272727272726,97.58727272727273,2.412727272727272,0.169238938137233,2.2990310070461453,2.526423538408399,2.319090909090909,2.5036363636363634,2.16,2.66,28.087053832454536,34.96241983281817,0,6,0.5454545454545454,2.4861338251496523,2.430575592209671,2.4,0.5454545454545454,2.4,0.5454545454545454
4,5623,5623.413251903491,11,107914,110000,1.8963636363636365,98.10363636363637,1.8963636363636363,0.09157212755775934,1.8348446439946897,1.9578826287325828,1.8490909090909091,1.9481818181818182,1.75,2.1,49.6029119350909,56.50504534227273,0,6,0.5454545454545454,1.9601787413586427,1.9169430002586425,1.9,0.5454545454545454,1.9,0.5454545454545454
5,10000,10000.0,11,108300,110000,1.5454545454545454,98.45454545454545,1.5454545454545454,0.11228211223197004,1.4700223960681411,1.6208866948409497,1.4827272727272727,1.6063636363636364,1.37,1.67,96.63439738190908,103.923980394,0,6,0.5454545454545454,1.5454545454545454,1.5289895613751001,1.55,0.5454545454545454,1.5,0.36363636363636365
