level,n,n_exact,draws,aggregate_correct,aggregate_total,expected_error_pct,expected_accuracy_pct,mean_of_draw_errors_pct,sd_error_pp,ci95_low_pct,ci95_high_pct,bootstrap_ci95_low_pct,bootstrap_ci95_high_pct,min_draw_error_pct,max_draw_error_pct,mean_training_seconds,mean_fit_wall_seconds,truncated_fits,pass_count,pass_fraction,two_anchor_predicted_error_pct,floor_fit_predicted_error_pct,rounded_0p05_error_pct,rounded_0p05_pass_fraction,rounded_0p1_error_pct,rounded_0p1_pass_fraction
1,1000,1000.0,11,103043,110000,6.324545454545454,93.67545454545454,6.324545454545455,0.28942576375864104,6.130106580764634,6.518984328326276,6.1454545454545455,6.488204545454545,5.72,6.76,0.6093542575836182,7.6598874222148545,0,6,0.5454545454545454,6.324545454545454,6.333062435850088,6.3,0.45454545454545453,6.3,0.45454545454545453
2,1778,1778.2794100389228,11,104559,110000,4.946363636363636,95.05363636363636,4.946363636363637,0.30611346678226126,4.740713811146554,5.1520134615807205,4.7709090909090905,5.110931818181818,4.43,5.38,1.7689865719188342,16.009979183023628,0,5,0.45454545454545453,4.999126927962101,4.915293661166767,4.95,0.45454545454545453,4.9,0.36363636363636365
3,3162,3162.2776601683795,11,105801,110000,3.8172727272727274,96.18272727272728,3.817272727272727,0.20746522161995765,3.677895694915259,3.956649759630195,3.7018181818181817,3.9282045454545456,3.43,4.09,4.688054323196411,33.38781274448741,0,5,0.45454545454545453,3.9511072384748025,3.8544805946015455,3.8,0.45454545454545453,3.8,0.45454545454545453
4,5623,5623.413251903491,11,106617,110000,3.0754545454545457,96.92454545454545,3.075454545454545,0.1253286588425517,2.9912576067945573,3.159651484114533,3.0072727272727273,3.1472727272727274,2.88,3.28,14.522163997996937,60.55291578986428,0,6,0.5454545454545454,3.122865169557426,3.061176550595182,3.1,0.6363636363636364,3.1,0.6363636363636364
5,10000,10000.0,11,107285,110000,2.4681818181818183,97.53181818181818,2.4681818181818183,0.159425103532548,2.36107857629797,2.5752850600656667,2.3763636363636365,2.5481818181818183,2.07,2.62,55.176698663017966,124.32397627830505,0,5,0.45454545454545453,2.4681818181818183,2.4678049396046005,2.45,0.45454545454545453,2.5,0.45454545454545453
