candidate_id,n,seed,correct,total,error_pct,training_seconds,fit_wall_seconds,epochs_completed,truncated,uses_query_images_unlabeled,id
kr-arccos1-d3,5623,2026092005,9701,10000,2.99,18.03425097465515,76.20493483543396,,False,False,final-kr-arccos1-d3-s2026092005-n5623
kr-arccos1-d3,5623,2026092006,9687,10000,3.13,16.86457872390747,71.20833492279053,,False,False,final-kr-arccos1-d3-s2026092006-n5623
kr-arccos1-d3,5623,2026092007,9699,10000,3.01,10.307122945785522,43.557024002075195,,False,False,final-kr-arccos1-d3-s2026092007-n5623
kr-arccos1-d3,5623,2026092008,9704,10000,2.96,6.855900049209595,29.070488929748535,,False,False,final-kr-arccos1-d3-s2026092008-n5623
kr-arccos1-d3,5623,2026092009,9672,10000,3.28,6.494845867156982,28.550511121749878,,False,False,final-kr-arccos1-d3-s2026092009-n5623
kr-arccos1-d3,5623,2026092010,9712,10000,2.88,7.62276816368103,32.88585686683655,,False,False,final-kr-arccos1-d3-s2026092010-n5623
kr-arccos1-d3,5623,2026092011,9696,10000,3.04,13.866927146911621,56.73421621322632,,False,False,final-kr-arccos1-d3-s2026092011-n5623
kr-arccos1-d3,10000,2026092001,9758,10000,2.42,85.65166687965393,198.55865812301636,,False,False,final-kr-arccos1-d3-s2026092001-n10000
kr-arccos1-d3,10000,2026092002,9756,10000,2.44,120.41771388053894,253.65315008163452,,False,False,final-kr-arccos1-d3-s2026092002-n10000
kr-arccos1-d3,10000,2026092003,9738,10000,2.62,58.06682801246643,131.31942200660706,,False,False,final-kr-arccos1-d3-s2026092003-n10000
kr-arccos1-d3,10000,2026092004,9764,10000,2.36,58.37579607963562,134.23866295814514,,False,False,final-kr-arccos1-d3-s2026092004-n10000
kr-arccos1-d3,10000,2026092005,9759,10000,2.41,60.42981004714966,140.44564986228943,,False,False,final-kr-arccos1-d3-s2026092005-n10000
kr-arccos1-d3,10000,2026092006,9747,10000,2.53,47.88167905807495,105.41533827781677,,False,False,final-kr-arccos1-d3-s2026092006-n10000
kr-arccos1-d3,10000,2026092007,9739,10000,2.61,44.5818612575531,90.89499378204346,,False,False,final-kr-arccos1-d3-s2026092007-n10000
kr-arccos1-d3,10000,2026092008,9793,10000,2.07,21.25974178314209,53.26775097846985,,False,False,final-kr-arccos1-d3-s2026092008-n10000
kr-arccos1-d3,10000,2026092009,9746,10000,2.54,27.933134078979492,58.975894927978516,,False,False,final-kr-arccos1-d3-s2026092009-n10000
kr-arccos1-d3,10000,2026092010,9746,10000,2.54,32.896109104156494,80.47829103469849,,False,False,final-kr-arccos1-d3-s2026092010-n10000
